iter	Passed	Remaining
0	4	4407
1	5	2553
2	5	1920
3	6	1605
4	7	1425
5	7	1294
6	8	1202
7	9	1132
8	9	1074
9	10	1024
10	10	982
11	11	950
12	12	921
13	12	898
14	13	886
15	14	873
16	14	865
17	15	850
18	16	841
19	16	829
20	17	816
21	18	806
22	18	800
23	19	790
24	20	785
25	20	778
26	21	771
27	22	765
28	22	761
29	23	753
30	23	747
31	24	747
32	25	744
33	25	737
34	26	734
35	27	731
36	28	729
37	28	727
38	29	725
39	30	723
40	30	722
41	31	718
42	32	718
43	32	714
44	33	709
45	34	707
46	34	702
47	35	700
48	35	698
49	36	694
50	37	691
51	37	688
52	38	684
53	38	680
54	39	676
55	40	674
56	40	671
57	41	668
58	41	666
59	42	663
60	43	663
61	43	662
62	44	659
63	44	658
64	45	658
65	46	659
66	47	659
67	48	658
68	48	656
69	49	653
70	49	652
71	50	651
72	51	649
73	51	648
74	52	646
75	53	644
76	53	642
77	54	640
78	54	639
79	55	637
80	56	636
81	56	634
82	57	630
83	57	628
84	58	626
85	58	626
86	59	626
87	60	625
88	61	625
89	61	625
90	62	625
91	63	624
92	63	622
93	64	621
94	65	621
95	65	621
96	66	619
97	67	617
98	67	615
99	68	613
100	68	611
101	69	609
102	69	608
103	70	606
104	70	604
105	71	602
106	72	601
107	72	599
108	73	597
109	73	596
110	75	602
111	76	602
112	76	603
113	77	602
114	78	601
115	78	599
116	79	596
117	79	595
118	80	593
119	80	591
120	81	590
121	81	587
122	82	586
123	82	584
124	83	584
125	84	583
126	84	582
127	85	582
128	86	582
129	86	581
130	87	581
131	88	580
132	88	578
133	89	577
134	89	576
135	90	574
136	91	574
137	92	574
138	92	575
139	93	574
140	94	573
141	94	570
142	95	570
143	95	569
144	96	568
145	96	567
146	97	565
147	98	565
148	99	565
149	99	564
150	100	562
151	100	561
152	101	560
153	101	559
154	102	559
155	103	558
156	103	557
157	104	555
158	104	554
159	105	553
160	105	551
161	106	552
162	107	551
163	107	550
164	108	549
165	109	548
166	109	547
167	110	547
168	111	546
169	111	545
170	112	544
171	112	543
172	113	542
173	113	541
174	114	539
175	115	538
176	115	537
177	116	537
178	117	536
179	117	536
180	118	535
181	118	534
182	119	533
183	120	532
184	120	532
185	121	531
186	122	531
187	122	531
188	123	530
189	124	529
190	124	528
191	125	527
192	125	526
193	126	524
194	126	523
195	127	522
196	128	521
197	128	520
198	129	519
199	129	518
200	130	517
201	130	517
202	131	516
203	132	516
204	133	516
205	133	515
206	134	514
207	134	513
208	135	512
209	135	511
210	136	510
211	137	510
212	138	510
213	138	509
214	139	509
215	140	508
216	140	507
217	141	506
218	141	505
219	142	504
220	143	504
221	143	503
222	144	503
223	144	502
224	145	501
225	146	501
226	147	500
227	147	500
228	148	500
229	149	499
230	149	499
231	150	498
232	151	498
233	152	497
234	152	497
235	153	497
236	154	496
237	155	496
238	155	495
239	156	495
240	157	495
241	157	494
242	158	494
243	159	494
244	160	493
245	160	492
246	161	492
247	162	491
248	162	490
249	163	489
250	163	488
251	164	487
252	164	486
253	165	485
254	165	484
255	166	484
256	167	484
257	168	484
258	169	484
259	170	485
260	171	484
261	172	484
262	172	484
263	173	483
264	174	483
265	174	482
266	175	481
267	176	480
268	176	480
269	177	479
270	178	479
271	178	478
272	179	477
273	180	477
274	180	476
275	181	476
276	182	475
277	183	475
278	183	475
279	184	474
280	185	474
281	186	473
282	186	472
283	187	472
284	188	471
285	188	471
286	189	470
287	190	470
288	190	469
289	191	469
290	192	468
291	192	467
292	193	466
293	194	466
294	194	465
295	195	465
296	196	464
297	197	464
298	197	463
299	198	464
300	199	464
301	200	463
302	201	463
303	202	462
304	202	462
305	203	461
306	204	461
307	204	460
308	205	459
309	206	459
310	207	458
311	207	458
312	208	457
313	209	456
314	209	456
315	210	455
316	211	454
317	211	454
318	212	453
319	213	453
320	214	453
321	215	452
322	215	452
323	216	451
324	217	451
325	218	450
326	218	450
327	219	449
328	220	449
329	221	448
330	221	448
331	222	447
332	223	446
333	223	446
334	224	445
335	225	444
336	225	444
337	226	444
338	227	443
339	228	443
340	229	443
341	230	443
342	231	443
343	232	442
344	232	442
345	233	441
346	234	441
347	235	440
348	235	439
349	236	439
350	237	438
351	237	437
352	238	436
353	238	435
354	239	434
355	240	434
356	240	433
357	241	433
358	242	433
359	243	433
360	244	432
361	245	432
362	246	431
363	246	431
364	247	430
365	248	430
366	248	429
367	249	428
368	250	427
369	250	427
370	251	426
371	252	426
372	253	425
373	253	424
374	254	424
375	255	424
376	256	423
377	256	422
378	257	422
379	258	421
380	259	421
381	260	420
382	260	420
383	261	419
384	262	418
385	262	418
386	263	417
387	264	416
388	264	416
389	265	415
390	266	414
391	266	413
392	267	412
393	267	412
394	268	411
395	269	410
396	269	409
397	270	408
398	271	408
399	272	408
400	273	407
401	273	407
402	274	406
403	275	406
404	275	405
405	276	404
406	277	403
407	277	403
408	278	402
409	279	401
410	279	401
411	280	400
412	281	399
413	282	399
414	282	398
415	283	397
416	284	397
417	284	396
418	285	395
419	286	395
420	286	394
421	287	393
422	288	393
423	288	392
424	289	391
425	290	390
426	290	390
427	291	389
428	291	388
429	292	387
430	293	387
431	294	386
432	294	385
433	295	385
434	295	384
435	296	383
436	297	382
437	297	381
438	298	381
439	298	380
440	299	379
441	299	378
442	300	377
443	301	377
444	302	376
445	303	376
446	304	376
447	305	375
448	305	375
449	306	374
450	307	373
451	307	373
452	308	372
453	309	371
454	309	370
455	310	370
456	310	369
457	311	368
458	312	368
459	312	367
460	313	366
461	314	365
462	314	364
463	315	364
464	316	364
465	317	363
466	317	362
467	318	362
468	319	361
469	319	360
470	320	359
471	320	358
472	321	358
473	321	357
474	322	356
475	323	355
476	323	354
477	324	354
478	324	353
479	325	352
480	325	351
481	326	350
482	326	349
483	327	349
484	328	348
485	328	347
486	329	346
487	329	345
488	330	345
489	331	344
490	331	344
491	332	343
492	333	342
493	333	341
494	334	341
495	334	340
496	335	339
497	335	338
498	336	337
499	337	337
500	337	336
501	338	335
502	338	334
503	339	333
504	339	333
505	340	332
506	340	331
507	341	330
508	342	329
509	342	329
510	343	328
511	343	327
512	344	326
513	344	325
514	345	325
515	346	324
516	347	324
517	347	323
518	348	322
519	348	322
520	349	321
521	350	320
522	350	319
523	351	319
524	352	318
525	352	317
526	353	317
527	353	316
528	354	315
529	354	314
530	355	313
531	356	313
532	356	312
533	357	311
534	357	310
535	358	310
536	358	309
537	359	308
538	359	307
539	360	307
540	361	306
541	361	305
542	362	305
543	362	304
544	363	303
545	364	302
546	364	301
547	365	301
548	365	300
549	366	299
550	367	299
551	367	298
552	368	297
553	369	297
554	369	296
555	370	295
556	370	294
557	371	294
558	371	293
559	372	292
560	373	292
561	373	291
562	374	290
563	375	289
564	375	289
565	376	288
566	377	287
567	377	287
568	378	286
569	378	285
570	379	285
571	380	284
572	380	283
573	381	283
574	382	282
575	383	281
576	383	281
577	384	280
578	384	279
579	385	279
580	385	278
581	386	277
582	387	276
583	387	276
584	388	275
585	388	274
586	389	273
587	389	273
588	390	272
589	390	271
590	391	270
591	392	270
592	392	269
593	393	268
594	394	268
595	394	267
596	395	266
597	395	266
598	396	265
599	397	264
600	397	263
601	398	263
602	398	262
603	399	261
604	399	261
605	400	260
606	400	259
607	401	258
608	401	258
609	402	257
610	403	256
611	403	255
612	404	255
613	404	254
614	405	253
615	405	252
616	406	252
617	407	251
618	407	251
619	408	250
620	409	249
621	409	248
622	410	248
623	410	247
624	411	246
625	411	246
626	412	245
627	412	244
628	413	243
629	414	243
630	414	242
631	415	241
632	415	240
633	416	240
634	416	239
635	417	238
636	417	238
637	418	237
638	418	236
639	419	235
640	419	235
641	420	234
642	421	233
643	421	233
644	422	232
645	423	231
646	424	231
647	424	230
648	425	229
649	425	229
650	426	228
651	426	227
652	427	227
653	428	226
654	428	225
655	429	225
656	429	224
657	430	223
658	430	222
659	431	222
660	431	221
661	432	220
662	433	220
663	433	219
664	434	218
665	434	218
666	435	217
667	436	216
668	436	216
669	437	215
670	437	214
671	438	214
672	439	213
673	439	212
674	440	211
675	440	211
676	441	210
677	441	209
678	442	209
679	443	208
680	443	207
681	444	207
682	444	206
683	445	205
684	446	205
685	446	204
686	447	203
687	447	202
688	448	202
689	448	201
690	449	200
691	449	200
692	450	199
693	450	198
694	451	198
695	451	197
696	452	196
697	453	196
698	454	195
699	454	194
700	455	194
701	455	193
702	456	192
703	456	192
704	457	191
705	457	190
706	458	190
707	459	189
708	459	188
709	460	188
710	460	187
711	461	186
712	461	185
713	462	185
714	463	184
715	463	183
716	464	183
717	464	182
718	465	181
719	465	181
720	466	180
721	466	179
722	467	179
723	468	178
724	468	177
725	469	177
726	469	176
727	470	175
728	471	175
729	471	174
730	472	173
731	472	173
732	473	172
733	473	171
734	474	171
735	475	170
736	475	169
737	476	169
738	476	168
739	477	167
740	477	166
741	478	166
742	478	165
743	479	164
744	480	164
745	480	163
746	481	162
747	481	162
748	482	161
749	483	161
750	483	160
751	484	159
752	484	159
753	485	158
754	486	157
755	486	157
756	487	156
757	487	155
758	488	155
759	489	154
760	489	153
761	490	153
762	490	152
763	491	151
764	491	151
765	492	150
766	492	149
767	493	149
768	494	148
769	494	147
770	495	147
771	495	146
772	496	145
773	496	145
774	497	144
775	497	143
776	498	143
777	499	142
778	500	141
779	500	141
780	501	140
781	501	139
782	502	139
783	502	138
784	503	137
785	503	137
786	504	136
787	505	135
788	505	135
789	506	134
790	507	133
791	507	133
792	508	132
793	508	131
794	509	131
795	509	130
796	510	130
797	510	129
798	511	128
799	511	127
800	512	127
801	513	126
802	514	126
803	515	125
804	515	124
805	516	124
806	517	123
807	517	123
808	518	122
809	518	121
810	519	121
811	519	120
812	520	119
813	521	119
814	521	118
815	522	117
816	522	117
817	523	116
818	523	115
819	524	115
820	525	114
821	525	113
822	526	113
823	526	112
824	527	111
825	528	111
826	529	110
827	530	110
828	530	109
829	531	108
830	532	108
831	533	107
832	533	107
833	534	106
834	535	105
835	535	105
836	536	104
837	537	103
838	538	103
839	539	102
840	539	102
841	540	101
842	540	100
843	541	100
844	542	99
845	542	98
846	543	98
847	544	97
848	545	96
849	546	96
850	547	95
851	547	95
852	548	94
853	549	93
854	550	93
855	550	92
856	551	92
857	552	91
858	553	90
859	553	90
860	554	89
861	554	88
862	555	88
863	556	87
864	556	86
865	557	86
866	558	85
867	559	85
868	560	84
869	560	83
870	561	83
871	562	82
872	563	81
873	564	81
874	565	80
875	565	80
876	566	79
877	567	78
878	567	78
879	568	77
880	569	76
881	570	76
882	570	75
883	571	75
884	572	74
885	573	73
886	574	73
887	575	72
888	576	71
889	577	71
890	577	70
891	578	70
892	579	69
893	579	68
894	580	68
895	581	67
896	581	66
897	582	66
898	583	65
899	583	64
900	584	64
901	585	63
902	586	62
903	587	62
904	587	61
905	588	61
906	590	60
907	590	59
908	591	59
909	592	58
910	593	57
911	594	57
912	595	56
913	595	56
914	596	55
915	597	54
916	598	54
917	598	53
918	599	52
919	600	52
920	601	51
921	601	50
922	602	50
923	603	49
924	603	48
925	604	48
926	605	47
927	606	47
928	607	46
929	607	45
930	608	45
931	609	44
932	610	43
933	611	43
934	611	42
935	612	41
936	613	41
937	613	40
938	614	39
939	615	39
940	615	38
941	616	37
942	617	37
943	617	36
944	619	36
945	620	35
946	621	34
947	622	34
948	623	33
949	624	32
950	624	32
951	625	31
952	626	30
953	626	30
954	627	29
955	628	28
956	628	28
957	629	27
958	630	26
959	631	26
960	631	25
961	632	24
962	633	24
963	634	23
964	635	23
965	636	22
966	636	21
967	637	21
968	638	20
969	639	19
970	639	19
971	640	18
972	641	17
973	641	17
974	642	16
975	643	15
976	643	15
977	644	14
978	644	13
979	645	13
980	645	12
981	646	11
982	647	11
983	647	10
984	648	9
985	649	9
986	650	8
987	651	7
988	651	7
989	652	6
990	653	5
991	653	5
992	654	4
993	655	3
994	655	3
995	656	2
996	656	1
997	657	1
998	657	0
999	658	0
